title,salary,url_endpoint,company_name,city,valid_till,hard_skills,soft_skills,minimum_experience_year,job_for_programmer,technologies
.NET Software Engineer in Retail Investment Tribe,3.480 - 5.220,/finansu-apskaitos-audito-darbai/net-software-engineer-in-retail-investment-tribe-vilniuje-1-418460622,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-20,".NET,MS SQL,software design patterns,RESTful APIs,Docker,RabbitMQ,CI/CD,AWS,OpenShift","working agile,close collaboration,guiding team members,challenge the way we do things",2,1,".NET, MS SQL, Docker, RabbitMQ, AWS, OpenShift"
.NET Software Engineering Career Opportunities for Experienced Professionals,4.480 - 6.720,/finansu-apskaitos-audito-darbai/net-software-engineering-career-opportunities-for-experienced-vilniuje-1-419598089,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-30,".Net Core (C#),Microservices,Container Driven Development,SQL Server,API building,cloud platforms and architecture","problem-solving,communication,teamwork",3,1,".Net Core, SQL Server, API, Cloud"
Advanced Service Engineer,2.300 - 3.500,/klientu-aptarnavimo-paslaugu-darbai/advanced-service-engineer-kaune-1-419537859,Alliance for Recruitment,Kaunas,2024-10-02,"Fluent in English,Experience with networks or network applications,Knowledge in at least two of the following technologies: Cisco FortiGate Juniper VMware Hirschmann Zabbix Linux Windows SSL VPN (FortiNet),Conceptual understanding,Strong analytical skills,ITIL awareness or experience","Problem solving mentality,Sense of initiative,Good communication skills,Structured,Customer-centric",,1,"Cisco, FortiGate, Juniper, VMware, Hirschmann, Zabbix, Linux, Windows, SSL VPN (FortiNet)"
Application Security Engineer,3.440 - 5.160,/finansu-apskaitos-audito-darbai/application-security-engineer-vilniuje-1-419441779,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-26,"C#/.NET development,REST APIs,microservices,SQL,scripting in Bash,PowerShell,Python,Application Security,DevSecOps,code scanning tools,SAST,SCA,DevOps tools and processes,build automation,orchestration tools,CI tools,container technology,Docker,Kubernetes",Advanced English skills,2,1,"C#/.NET, REST APIs, SQL, Bash, PowerShell, Python, GitHub, Azure DevOps, Docker, Kubernetes"
Back-end Engineer for Developer Journey Automation,3.440 - 5.160,/finansu-apskaitos-audito-darbai/back-end-engineer-for-developer-journey-automation-vilniuje-1-418952393,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-16,"Degree in Computer Science or related technical subject area,At least 3 years of proven experience in platform engineering with a strong background in software development,Proficient in at least one programming language,Strong understanding of cloud technologies CI/CD pipelines and DevOps practices,Experience with containerization and orchestration technologies,Previous experience with IaC tools,Advanced skills in English","Great problem-solving abilities and attention to detail,Good interpersonal and explanation skills,Willingness to learn and improve constantly coupled with a positive attitude,Ability to work both in a team and individually,Passionate towards high performance clean and testable code",3,1,".NET, Java, Python, Java, C#, cloud technologies, CI/CD pipelines, DevOps, Docker, Kubernetes, Terraform"
Chief Accountant,3.500 - 4.000,/klientu-aptarnavimo-paslaugu-darbai/chief-accountant-kaune-1-419414341,Alliance for Recruitment,Kaunas,2024-09-29,"Bachelor or higher degree in Accounting or Finance,2-3 years experience as a Chief Accountant,Excellent MS office skills,Good accounting software skills,Very good knowledge of tax & labor code legislation","Excellent communication skills,The ability to set priorities and exercise flexibility where necessary,Strong customer service orientation and attention to detail,Ability to work independently,commitment to learn and develop,Punctuality and ability to meet deadlines",2,0,"MS Office, accounting software"
Chief Cloud Specialist: Kubernetes,5.280 - 7.920,/finansu-apskaitos-audito-darbai/chief-cloud-specialist-kubernetes-vilniuje-1-417969081,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-20,"deploying managing and scaling Kubernetes clusters,stakeholder management,planning and coordinating deliveries,understanding of the core components of AWS EKS Kubernetes or OpenShift,knowledge of AWS core services: VPC EC2 S3 IAM Route 53 Load Balancers Storage Lambda,skills in using DevOps and IaC tools such as Azure DevOps Terraform Ansible Chef Git,understanding of security technologies and observability practices methods and tools in AWS,troubleshooting and debugging skills","communication skills,ability to work with diverse teams,ability to build a positive working environment",4,1,"Kubernetes, AWS EKS, VPC, EC2, S3, IAM, Route 53, Load Balancers, Storage, Lambda, Azure DevOps, Terraform, Ansible, Chef, Git"
Chief SRE Engineer,5.280 - 7.920,/finansu-apskaitos-audito-darbai/chief-sre-engineer-vilniuje-1-419129103,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-16,"Experience with Observability and Monitoring toolsets (Grafana Prometheus ELK Stack OpenTelemetry Tracing  etc.),Cross technical domain knowledge,Performance Engineering and optimization experience (e.g. TCP Linux Windows Database etc.),Experience with Private and/or Public Cloud infrastructure","analytical,communication,interpersonal skills,High sense of ownership,can-do approach,Upper-Intermediate English skills",7,1,"Grafana, Prometheus, ELK Stack, OpenTelemetry, Tracing, TCP, Linux, Windows, Database, Private and/or Public Cloud infrastructure"
Data Engineer for Unified Financial Insight Squad,3.480 - 5.220,/finansu-apskaitos-audito-darbai/data-engineer-for-unified-financial-insight-squad-vilniuje-1-418462459,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-20,"Experience in database or software development,Ability to use tools like Tableau,Skilled at creating modifying and maintaining ETL or ELT workflows,Knowledge of Database Management using SQL,Bachelor’s degree or higher in Engineering or Science,Advanced SQL skills,Python skills",Upper-Intermediate English skills both written and spoken,,1,"Tableau, SQL, Python"
EMBEDDED SOFTWARE ENGINEER JUNIOR • TELEMATICS,1.818 - 2.644,/inzinerijos-mechanikos-darbai/embedded-software-engineer-junior-•-telematics-vilniuje-1-419693389,"Teltonika TELEMATICS, UAB",Vilnius,2024-10-07,"C/C++ programming,electronics or IT degree,embedded C/C++ experience,knowledge of GIT version control system,ability to read PCB schematics,basic RTOS knowledge","ambitious,willingness to grow,participation in Agile (Scrum) team,cooperation",,1,"C/C++, GIT, RTOS"
